timestamp,country,operating_system,Facebook Messenger,iMessage,WhatsApp,Telegram,Slack,Skype,Snapchat,QQ Mobile,Line,WeChat,Viber,GroupMe,SMS,IRC,Google Talk
2016/08/30 8:14:40 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/30 9:22:17 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I use it at least once a week,I have it but rarely use it,I use it at least once a week
2016/08/30 10:35:57 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 6:16:38 AM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it
2016/08/31 10:35:17 AM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it
2016/09/01 2:31:48 AM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I have it but rarely use it
2016/08/30 9:11:38 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/30 11:51:36 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/30 7:22:58 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/30 7:24:21 PM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it
2016/08/30 7:28:29 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it
2016/08/30 7:28:58 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it
2016/08/30 7:33:47 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I use it at least once a week
